||From : 01/27/2016  To : 02/05/2016|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
1|42676|L.G.S st - 2TH|90|0|0|0|0|0|0|90|0|0|0|
2|42686|Janappriya - 2TH|1042|-.5|0|0|0|0|0|1042|0|0|0|
3|9341|Asanka Yasan - OTH|1483|-.5|0|0|0|0|0|0|0|0|1483|
4|9495|S. Narangoda - WED|2774|-.65|0|0|0|0|0|0|0|0|2774|
5|9496|Ranjani St - WED|2015|-.26|0|0|0|0|0|2015|0|0|0|
6|94970|N.S st - WED|782|-.25|0|0|0|0|0|782|0|0|0|
7|9498|Eranda st - THU|1348|-.08|0|0|0|0|0|1348|0|0|0|
8|9527|Mahilal Ent - WED|7823|1.88|0|0|325.88|0|0|0|0|0|7823|
9|9528|Pathum st - FRI|450|0|0|0|0|0|0|450|0|0|0|
10|9529|Thushara Hotel - FRI|19421|-.17|0|0|809.22|0|0|0|0|0|19421|
11|9531|Pasidu - 2SA|2938|-.5|85.5|0|0|0|0|0|0|0|2938|
12|9532|Priyantha st - 2SA|6310|-1.04|81|0|0|0|0|6310|0|0|0|
13|9533|Tea shakthi - 2SA|1804|1.36|0|0|0|765.4|0|0|0|0|1804|
14|9534|Priyanthi - 2SA|657|-.4|0|0|0|0|0|657|0|0|0|
15|9535|Paranawaththa st - 2SA|1059|0|0|0|0|0|0|1059|0|0|0|
16|9536|Udara hottel - 2SA|1503|-.75|0|0|0|0|0|0|0|0|1503|
17|9537|Sampath st - 2SA|2038|-.18|0|0|84.92|0|0|2038|0|0|0|
18|9538|Sathsara st - 2SA|1242|-.6|0|0|0|0|0|1242|0|0|0|
19|9539|Saduni st - 2SA|3317|0|0|0|0|0|0|3317|0|0|0|
20|9540|Somasiri st - 2SA|265|-.5|0|0|0|0|0|265|0|0|0|
21|9541|Kumudu st - 2SA|270|0|0|0|0|0|0|270|0|0|0|
22|9542|Rathnasiri st - 2SA|180|0|0|0|0|0|0|180|0|0|0|
23|9543|Kalansooriya st - 2SA|675|0|0|0|0|0|0|675|0|0|0|
24|9544|Rathnasiri st - 2SA|490|-.5|0|0|0|0|0|490|0|0|0|
25|9545|W.H.U st - 2SA|5180|-.5|0|0|0|0|0|0|0|0|5180|
26|A014556|New Iresha st - WED|5316|-.5|463.5|0|221.52|0|0|0|0|0|5316|
27|A14536|Lakmal st - WED|1140|0|0|0|0|0|0|1140|0|0|0|
28|A14537|Nethmi - WED|5974|-.64|0|0|248.94|0|0|5974|0|0|0|
29|A14538|Ambagaha Watta - WED|5218|-.11|664.14|0|0|0|0|0|0|0|5218|
30|A14539|Sunil - WED|4511|-.46|0|0|0|0|0|4511|0|0|0|
31|A14540|Lacky Cafe - WED|1532|-.79|0|0|0|0|0|1532|0|0|0|
32|A14541|Chandana - WED|2300|-.1|0|0|0|0|0|2300|0|0|0|
33|A14542|M.T St - WED|1486|-.38|0|0|0|0|0|1486|0|0|0|
34|A14543|G.K.K st - WED|369|-.34|698.21|0|0|0|0|369|0|0|0|
35|A14544|Chamath - WED|6122|-.18|0|0|0|0|0|122|6000|0|0|
36|A14545|Kanthi - WED|6807|-.23|454.5|0|316.45|0|0|6807|0|0|0|
37|A14547|Medicare Ph. - WED|1218|0|0|0|0|0|0|1218|0|0|0|
38|A14548|Anan Manan - WED|1761|-.6|0|0|0|0|0|0|0|0|1761|
39|A14549|Priyantha labuduwa - WED|14807|-.91|72|0|1424.21|0|0|14807|0|0|0|
40|A14550|B.P Grocey - WED|22216|-1.07|2187|0|925.71|0|0|22216|0|0|0|
41|A14551|Keshan - WED|1046|-.1|0|0|0|0|0|1046|0|0|0|
42|A14552|Sampath f / c - WED|27513|-.53|0|0|2385.44|0|1239.04|0|0|0|27513|
43|A14553|Sarath st - WED|2705|-.64|0|0|0|0|0|2705|0|0|0|
44|A14554|Samagi Cantion - WED|687|0|0|0|0|0|0|687|0|0|0|
45|A14555|Suwira - WED|1350|0|0|0|0|0|0|1350|0|0|0|
46|A14561|Kirindagoda Fram Shop - TUE|10354|-.42|0|0|431.43|0|0|0|10354|0|0|
47|A14592|Wijitha Food Corner - MON|288835|-.38|0|0|21528.4|0|8673.28|0|0|0|288835|
48|A14593|Senewirathna st - WED|49261|-.09|0|0|2216.61|0|0|0|0|0|49261|
49|A14594|Highland M/B - FRI|27575|-.6|0|0|1148.98|0|0|0|0|0|27575|
50|A14596|Devon Pharmacy - FRI|3085|-.51|39.38|0|0|0|0|0|0|0|3085|
51|A14597|B T M Hotel - FRI|9032|-.44|0|0|376.35|0|0|0|0|0|9032|
52|A14598|Rizla Hotel - FRI|20416|-.16|0|0|850.67|0|0|0|0|0|20416|
53|A14599|M.R. st - FRI|16533|-.06|1377|0|688.88|0|0|1552|0|0|14981|
54|A14600|Faroshan Grocery - THU|5866|-.9|0|0|0|0|0|5866|0|0|0|
55|A14601|Bajaj Houes - THU|396|0|0|0|0|0|0|396|0|0|0|
56|A14602|Nimal st - THU|5398|-.51|118.13|0|0|0|0|5398|0|0|0|
57|A14603|J H Pharmacy - THU|6887|-.35|0|0|0|0|0|3387|3500|0|0|
58|A14604|K.K. st - THU|1958|-.7|0|0|0|0|0|1958|0|0|0|
59|A14605|Nilanthi st - THU|1798|-.4|0|0|0|0|0|1798|0|0|0|
60|A14606|T.A St - FRI|5447|-.85|0|0|0|0|0|5447|0|0|0|
61|A14607|Karapitiya Agencies - FRI|4924|-.8|0|0|205.2|0|0|4924|0|0|0|
